MonthlyCharges,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineBackup,Contract,PaperlessBilling,Churn
68.55,Female,0,Yes,Yes,8,DSL,No,Month-to-month,Yes,No
95,Male,0,No,No,7,Fiber optic,No,Month-to-month,No,Yes
108.15,Female,0,Yes,Yes,70,Fiber optic,Yes,One year,Yes,No
86.1,Male,0,Yes,Yes,62,DSL,Yes,Two year,No,No
19.7,Female,0,Yes,Yes,6,No,No internet service,Month-to-month,No,No
80.9,Female,0,Yes,Yes,14,Fiber optic,No,Month-to-month,Yes,No
84.15,Female,0,No,No,22,Fiber optic,No,Month-to-month,Yes,No
20.15,Male,0,Yes,Yes,22,No,No internet service,One year,No,No
64.25,Male,0,Yes,Yes,16,DSL,No,Two year,No,No
25.7,Male,0,No,No,10,No,No internet service,Two year,No,No
56,Female,0,No,Yes,13,DSL,Yes,Month-to-month,Yes,No
82.4,Female,0,Yes,No,20,Fiber optic,No,Month-to-month,No,Yes
69.7,Female,0,No,No,2,Fiber optic,No,Month-to-month,Yes,No
73.9,Male,0,No,No,53,DSL,Yes,Two year,Yes,No
20.6,Female,0,Yes,Yes,11,No,No internet service,One year,No,No
19.9,Male,0,Yes,No,69,No,No internet service,Two year,No,No
70.9,Female,0,No,No,4,Fiber optic,No,Month-to-month,Yes,Yes
89.05,Male,0,Yes,No,72,DSL,Yes,Two year,Yes,No
45.3,Male,1,Yes,No,58,DSL,Yes,Month-to-month,Yes,Yes
20.4,Female,0,Yes,Yes,16,No,No internet service,Month-to-month,No,No
84.25,Male,0,Yes,No,43,Fiber optic,No,One year,Yes,No
104.4,Female,0,Yes,No,2,Fiber optic,No,Month-to-month,Yes,Yes
81.95,Male,0,Yes,No,14,DSL,Yes,Two year,No,No
94.85,Female,0,Yes,No,53,Fiber optic,No,One year,Yes,Yes
20.55,Female,0,No,No,32,No,No internet service,One year,No,No
24.7,Female,0,Yes,No,34,No,No internet service,Month-to-month,No,No
74.45,Female,1,No,No,15,Fiber optic,No,Month-to-month,Yes,Yes
76.45,Female,1,No,No,7,Fiber optic,No,Month-to-month,No,Yes
105.35,Female,0,Yes,Yes,15,Fiber optic,Yes,Month-to-month,Yes,No
20.55,Male,0,Yes,No,61,No,No internet service,One year,Yes,No
29.95,Female,0,No,No,1,DSL,Yes,Month-to-month,No,Yes
45.3,Female,0,No,No,1,DSL,No,Month-to-month,No,No
84.5,Male,0,No,No,8,Fiber optic,No,Month-to-month,No,Yes
74.75,Male,0,Yes,Yes,33,DSL,No,One year,No,No
79.25,Female,0,No,No,13,Fiber optic,Yes,Month-to-month,Yes,Yes
24.8,Female,0,Yes,No,1,DSL,No,Month-to-month,Yes,Yes
51.8,Male,0,No,No,20,DSL,Yes,Month-to-month,Yes,No
30.4,Male,0,No,No,3,DSL,No,Month-to-month,No,No
19.65,Female,0,No,No,13,No,No internet service,One year,No,No
56.6,Female,0,Yes,No,40,DSL,Yes,Month-to-month,No,No
71.9,Male,0,Yes,Yes,43,DSL,No,One year,Yes,No
91,Male,0,Yes,No,6,Fiber optic,Yes,Month-to-month,Yes,Yes
19.75,Female,0,Yes,Yes,69,No,No internet service,Two year,No,No
109.7,Female,0,Yes,Yes,72,Fiber optic,Yes,Two year,No,No
19.3,Male,0,Yes,Yes,59,No,No internet service,Two year,No,No
96.55,Female,0,Yes,No,20,Fiber optic,Yes,Month-to-month,Yes,No
24.1,Male,0,Yes,Yes,24,No,No internet service,Two year,Yes,No
111.35,Male,0,No,No,59,Fiber optic,Yes,Month-to-month,Yes,No
112.25,Male,0,Yes,Yes,72,Fiber optic,Yes,Two year,Yes,No
20.75,Male,0,No,Yes,1,No,No internet service,Month-to-month,No,No
101.9,Female,0,Yes,No,27,Fiber optic,No,One year,Yes,No
80.05,Female,0,No,No,14,Fiber optic,Yes,Month-to-month,Yes,No
105.55,Male,0,Yes,Yes,71,Fiber optic,No,Two year,No,No
78.3,Male,0,No,Yes,13,Fiber optic,No,Month-to-month,Yes,No
68.85,Male,0,No,No,44,Fiber optic,No,Month-to-month,No,No
79.95,Female,0,No,No,33,Fiber optic,Yes,One year,Yes,No
55.45,Male,0,Yes,Yes,72,DSL,Yes,Two year,Yes,No
79.9,Male,0,No,No,1,Fiber optic,No,Month-to-month,No,Yes
106.6,Female,0,No,No,19,Fiber optic,No,Month-to-month,Yes,Yes
102.45,Male,0,Yes,No,64,Fiber optic,Yes,One year,Yes,No
46,Male,0,No,No,2,DSL,No,Month-to-month,Yes,Yes
25.25,Female,0,No,No,1,DSL,No,Month-to-month,No,No
19.75,Male,0,No,Yes,61,No,No internet service,Two year,No,No
20,Female,0,Yes,Yes,29,No,No internet service,One year,No,No
86.8,Male,1,Yes,No,23,Fiber optic,No,Month-to-month,No,No
58.75,Female,0,Yes,No,57,DSL,Yes,Month-to-month,Yes,No
45.25,Male,0,Yes,Yes,72,DSL,Yes,Two year,No,No
56.6,Male,0,Yes,No,66,DSL,Yes,Two year,Yes,No
84.2,Male,0,Yes,Yes,65,DSL,Yes,Two year,Yes,No
80,Female,0,No,No,8,Fiber optic,No,Month-to-month,Yes,No
70.15,Female,0,No,No,4,Fiber optic,No,Month-to-month,Yes,Yes
24.75,Female,0,Yes,No,71,No,No internet service,Two year,No,No
20.2,Male,0,Yes,Yes,1,No,No internet service,One year,Yes,No
50.05,Male,0,Yes,No,4,DSL,No,Month-to-month,No,Yes
19.35,Female,0,No,No,12,No,No internet service,One year,Yes,No
50.6,Male,0,No,No,24,DSL,No,One year,Yes,No
81.15,Female,0,Yes,Yes,31,DSL,No,One year,Yes,No
55.2,Female,0,Yes,No,1,DSL,No,Month-to-month,No,Yes
89.9,Male,0,No,No,30,Fiber optic,No,Month-to-month,Yes,No
85.3,Female,0,Yes,Yes,47,DSL,Yes,Two year,Yes,No
108,Male,0,No,No,54,Fiber optic,Yes,Two year,Yes,No
93.5,Male,0,No,No,50,Fiber optic,Yes,Month-to-month,Yes,No
84.6,Male,0,No,No,1,Fiber optic,No,Month-to-month,Yes,Yes
20.25,Female,0,No,No,72,No,No internet service,Two year,No,No
25.15,Female,0,No,No,29,No,No internet service,Month-to-month,No,No
54.4,Male,0,No,No,2,DSL,Yes,Month-to-month,Yes,Yes
29.6,Female,0,No,No,10,DSL,No,Two year,Yes,No
73.15,Male,0,Yes,No,18,Fiber optic,No,Month-to-month,Yes,No
95,Female,1,No,No,11,Fiber optic,Yes,Month-to-month,Yes,Yes
19.75,Male,0,No,No,16,No,No internet service,Two year,No,No
86.6,Female,0,No,No,72,DSL,Yes,Two year,No,No
109.2,Male,0,No,No,72,Fiber optic,Yes,Two year,No,No
74.7,Female,0,Yes,Yes,41,DSL,No,One year,Yes,No
94.4,Female,1,Yes,No,65,Fiber optic,Yes,Month-to-month,No,No
54.8,Female,1,No,No,13,DSL,Yes,Month-to-month,Yes,No
75.35,Male,1,No,No,4,Fiber optic,No,Month-to-month,No,No
65,Male,0,No,No,41,DSL,No,One year,No,No
74.4,Male,1,No,No,15,Fiber optic,Yes,Month-to-month,Yes,Yes
48.55,Male,0,No,No,1,DSL,No,Month-to-month,Yes,Yes
99,Male,0,No,No,42,Fiber optic,Yes,One year,Yes,No
93.5,Female,0,Yes,No,51,Fiber optic,Yes,One year,Yes,No
70.4,Female,0,Yes,Yes,2,Fiber optic,No,Month-to-month,No,Yes
40.2,Male,1,Yes,No,1,DSL,Yes,Month-to-month,No,Yes
83.7,Male,0,No,Yes,32,DSL,Yes,One year,No,No
19.85,Male,0,No,No,10,No,No internet service,Month-to-month,Yes,No
59.55,Female,0,Yes,Yes,67,DSL,Yes,Two year,Yes,No
115.1,Female,0,Yes,Yes,61,Fiber optic,Yes,Two year,No,No
114.35,Male,0,No,No,50,Fiber optic,Yes,One year,No,No
44.6,Female,0,Yes,No,2,DSL,No,Month-to-month,Yes,Yes
45,Female,1,Yes,No,29,DSL,No,Month-to-month,Yes,No
41.15,Male,1,No,No,3,DSL,No,Month-to-month,Yes,Yes
106.9,Male,1,No,No,13,Fiber optic,Yes,Month-to-month,Yes,Yes
89.85,Male,1,Yes,No,57,Fiber optic,Yes,Month-to-month,Yes,No
49.85,Female,0,No,No,31,DSL,Yes,Two year,Yes,No
113.3,Female,0,Yes,No,45,Fiber optic,Yes,One year,No,No
88.1,Female,0,Yes,Yes,61,DSL,Yes,Two year,No,No
24.9,Male,0,No,No,50,No,No internet service,Two year,No,No
105,Female,1,No,No,19,Fiber optic,Yes,Month-to-month,Yes,No
19.35,Male,0,No,No,59,No,No internet service,Two year,No,Yes
24.25,Female,0,Yes,No,71,No,No internet service,Two year,Yes,No
94.45,Female,1,No,No,16,Fiber optic,No,Month-to-month,Yes,Yes
59.75,Male,0,Yes,No,57,DSL,Yes,Two year,Yes,No
24.8,Male,0,No,No,1,DSL,No,Month-to-month,No,Yes
107.05,Male,1,Yes,No,20,Fiber optic,Yes,Month-to-month,No,No
70.6,Male,0,No,No,1,Fiber optic,No,Month-to-month,No,Yes
85.4,Male,0,Yes,No,5,Fiber optic,Yes,Month-to-month,Yes,Yes
105.05,Female,0,Yes,No,52,Fiber optic,Yes,Month-to-month,Yes,Yes
64.95,Male,1,Yes,No,21,DSL,Yes,Month-to-month,Yes,No
55,Male,0,No,No,14,DSL,No,Month-to-month,Yes,No
50.55,Female,0,No,No,5,DSL,Yes,Month-to-month,No,No
55.15,Female,0,No,No,6,DSL,Yes,Month-to-month,No,No
51.2,Female,0,No,No,10,DSL,Yes,Month-to-month,No,No
25.4,Female,0,No,Yes,1,No,No internet service,Month-to-month,No,No
54.45,Female,0,No,No,68,DSL,No,Month-to-month,No,No
95.15,Male,0,Yes,Yes,18,Fiber optic,No,Month-to-month,No,Yes
76,Female,0,No,No,22,Fiber optic,No,One year,Yes,No
44.35,Female,0,No,No,20,DSL,No,Month-to-month,Yes,No
70,Male,0,Yes,No,1,Fiber optic,No,Month-to-month,No,Yes
74.5,Male,1,No,No,8,Fiber optic,Yes,Month-to-month,Yes,Yes
44.85,Male,0,No,No,10,DSL,No,Month-to-month,Yes,Yes
76.1,Male,1,No,No,24,Fiber optic,No,Month-to-month,Yes,Yes
61.2,Male,0,No,No,35,DSL,Yes,One year,No,No
86.8,Male,0,Yes,Yes,23,Fiber optic,Yes,One year,No,No
89.35,Female,1,No,No,6,Fiber optic,No,Month-to-month,Yes,No
19.7,Female,0,No,No,12,No,No internet service,Month-to-month,No,No
20.25,Male,0,No,No,1,No,No internet service,Month-to-month,No,No
76.05,Female,0,Yes,Yes,71,Fiber optic,No,Two year,No,No
100.8,Male,1,Yes,No,35,Fiber optic,No,Month-to-month,Yes,No
74.55,Male,0,Yes,Yes,40,DSL,No,Month-to-month,Yes,No
73.6,Female,0,No,Yes,1,Fiber optic,No,Month-to-month,Yes,Yes
64.9,Male,0,No,No,23,DSL,No,One year,Yes,No
95.45,Female,1,No,No,4,Fiber optic,No,Month-to-month,Yes,Yes
90.4,Male,0,No,No,4,Fiber optic,No,Month-to-month,Yes,No
60.3,Female,0,Yes,Yes,68,DSL,Yes,Two year,No,No
81.85,Male,0,No,Yes,38,Fiber optic,Yes,Month-to-month,Yes,No
24.8,Male,0,Yes,Yes,52,No,No internet service,Two year,No,No
74.9,Male,1,Yes,No,32,Fiber optic,No,Month-to-month,Yes,Yes
75.55,Male,0,Yes,Yes,29,DSL,No,Two year,No,No
101.15,Male,1,Yes,Yes,38,Fiber optic,Yes,Month-to-month,No,No
78.75,Male,0,No,Yes,48,DSL,No,One year,Yes,No
19.25,Female,0,No,No,1,No,No internet service,Month-to-month,Yes,No
89.05,Female,0,No,No,22,Fiber optic,No,Month-to-month,Yes,No
115.05,Female,0,No,No,43,Fiber optic,Yes,Two year,No,No
69.35,Female,1,Yes,No,5,Fiber optic,No,Month-to-month,Yes,No
80.6,Male,0,No,No,5,Fiber optic,No,Month-to-month,Yes,Yes
110.05,Male,0,Yes,Yes,51,Fiber optic,Yes,One year,No,No
19.9,Male,0,No,No,71,No,No internet service,Two year,Yes,No
80.3,Female,0,Yes,Yes,38,DSL,Yes,One year,No,Yes
93.15,Male,1,Yes,No,24,Fiber optic,No,Month-to-month,Yes,Yes
91.5,Male,0,Yes,No,35,Fiber optic,No,Month-to-month,Yes,No
82.45,Female,1,No,No,54,DSL,Yes,One year,No,Yes
60,Female,0,Yes,Yes,72,DSL,Yes,Two year,Yes,No
44.8,Male,0,No,No,1,DSL,No,Month-to-month,Yes,No
48.6,Female,0,Yes,Yes,9,DSL,No,One year,No,No
60.05,Male,0,No,No,69,DSL,Yes,Two year,Yes,No
102.7,Female,0,Yes,No,52,Fiber optic,Yes,Month-to-month,Yes,No
82.9,Female,1,Yes,No,11,Fiber optic,No,Month-to-month,Yes,No
70.35,Female,1,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
35.9,Female,1,Yes,Yes,28,DSL,No,Month-to-month,Yes,No
82.65,Female,1,No,No,17,Fiber optic,No,Month-to-month,Yes,No
19.85,Female,0,Yes,Yes,35,No,No internet service,Two year,Yes,No
19.2,Female,0,No,No,8,No,No internet service,One year,Yes,No
94.9,Male,0,No,No,46,Fiber optic,Yes,One year,Yes,No
73.85,Female,0,No,No,7,Fiber optic,No,Month-to-month,Yes,Yes
80.6,Female,0,No,No,2,Fiber optic,No,Month-to-month,No,Yes
75.8,Male,0,Yes,Yes,68,DSL,Yes,One year,Yes,Yes
104.6,Female,0,No,No,43,Fiber optic,Yes,Two year,Yes,Yes
88.15,Female,0,No,No,68,DSL,Yes,Two year,Yes,No
94.8,Female,0,No,No,36,Fiber optic,Yes,Month-to-month,Yes,No
103.4,Male,0,Yes,No,63,Fiber optic,Yes,Month-to-month,Yes,Yes
54.65,Female,1,No,No,32,DSL,Yes,Month-to-month,No,No
85.75,Female,0,Yes,No,71,DSL,Yes,Two year,No,No
67.45,Female,0,Yes,Yes,66,DSL,Yes,Month-to-month,Yes,No
20.5,Male,0,No,No,63,No,No internet service,One year,No,No
20.25,Female,0,No,Yes,41,No,No internet service,One year,Yes,No
72.1,Female,1,No,No,1,Fiber optic,No,Month-to-month,Yes,No
90.4,Female,0,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
19.45,Female,0,Yes,No,70,No,No internet service,Two year,No,No
44.95,Female,0,No,No,23,DSL,No,Month-to-month,Yes,No
97,Female,1,Yes,No,64,Fiber optic,Yes,One year,No,No
62.8,Male,0,Yes,Yes,37,DSL,No,Two year,Yes,No
44.6,Male,0,No,Yes,17,DSL,No,One year,No,No
89.15,Female,1,No,No,7,Fiber optic,No,Month-to-month,Yes,No
84.8,Male,0,Yes,Yes,4,Fiber optic,Yes,Month-to-month,Yes,Yes
41.9,Female,1,No,No,21,DSL,No,Month-to-month,Yes,Yes
80.25,Female,0,No,No,10,Fiber optic,No,Month-to-month,Yes,Yes
54.1,Female,1,No,No,16,DSL,No,Month-to-month,Yes,No
105.25,Male,0,Yes,No,64,Fiber optic,Yes,Two year,Yes,No
30.75,Male,1,Yes,No,27,DSL,No,Month-to-month,No,Yes
97.1,Male,0,Yes,Yes,42,Fiber optic,No,One year,No,No
20.2,Male,0,No,Yes,5,No,No internet service,Month-to-month,No,No
98.8,Female,0,No,No,41,Fiber optic,Yes,Two year,Yes,No
50.3,Male,0,Yes,No,58,DSL,No,One year,No,No
20.55,Female,0,No,No,47,No,No internet service,Two year,Yes,No
75.9,Male,0,No,No,18,Fiber optic,No,Month-to-month,Yes,No
96.5,Male,0,No,No,5,Fiber optic,No,Month-to-month,No,Yes
59.95,Male,0,Yes,No,23,DSL,No,Month-to-month,Yes,No
19.15,Female,0,No,No,1,No,No internet service,Month-to-month,No,No
98.65,Male,0,Yes,No,71,Fiber optic,No,One year,Yes,No
112.6,Male,0,Yes,Yes,72,Fiber optic,Yes,Two year,Yes,No
20.6,Male,0,Yes,Yes,33,No,No internet service,One year,No,No
85.65,Male,0,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
35.75,Male,0,No,Yes,24,DSL,No,Two year,No,No
99.75,Female,0,Yes,Yes,56,Fiber optic,Yes,One year,Yes,No
96.1,Male,0,No,No,37,Fiber optic,Yes,Month-to-month,Yes,No
85.1,Female,0,No,No,43,DSL,Yes,One year,No,No
25.35,Male,0,No,No,1,DSL,No,Month-to-month,No,No
104.95,Female,0,Yes,No,25,Fiber optic,No,Month-to-month,Yes,Yes
89.65,Female,0,No,No,61,DSL,Yes,Two year,No,No
86.75,Male,0,No,No,17,Fiber optic,No,One year,No,No
86.2,Female,0,Yes,No,41,Fiber optic,Yes,One year,Yes,No
50.65,Male,0,No,No,1,DSL,Yes,Month-to-month,No,Yes
64.8,Male,1,Yes,Yes,72,DSL,Yes,Two year,Yes,No
90.85,Male,0,No,No,1,Fiber optic,Yes,Month-to-month,Yes,Yes
108.1,Male,0,No,No,48,Fiber optic,Yes,Two year,Yes,No
19.95,Male,1,Yes,No,11,No,No internet service,Month-to-month,No,Yes
